,Unnamed: 0,workerId,conditionCE,conditionHeadN,level,arrayTraining,seenInTraining,participantText,compositionalAnswer,encodingCorrected,encodingCompositional,correctness,consonants,prepMGloss,prepRGloss,Grammar_HInitial-noCE.m.Left.r.Atop,Grammar_HInitial-noCE.m.Atop.r.Left,Grammar_HInitial-noCE.m.Left.r.Under,Grammar_HInitial-noCE.m.Atop.r.Right,Grammar_HInitial-noCE.m.Right.r.Atop,Grammar_HInitial-noCE.m.Under.r.Left,Grammar_HInitial-noCE.m.Right.r.Under,Grammar_HInitial-noCE.m.Under.r.Right,Grammar_HFinal-noCE.m.Left.r.Atop,Grammar_HFinal-noCE.m.Atop.r.Left,Grammar_HFinal-noCE.m.Left.r.Under,Grammar_HFinal-noCE.m.Atop.r.Right,Grammar_HFinal-noCE.m.Right.r.Atop,Grammar_HFinal-noCE.m.Under.r.Left,Grammar_HFinal-noCE.m.Right.r.Under,Grammar_HFinal-noCE.m.Under.r.Right,Grammar_HInitial-CE.m.Left.r.Atop,Grammar_HInitial-CE.m.Atop.r.Left,Grammar_HInitial-CE.m.Left.r.Under,Grammar_HInitial-CE.m.Atop.r.Right,Grammar_HInitial-CE.m.Right.r.Atop,Grammar_HInitial-CE.m.Under.r.Left,Grammar_HInitial-CE.m.Right.r.Under,Grammar_HInitial-CE.m.Under.r.Right,Grammar_HFinal-CE.m.Left.r.Atop,Grammar_HFinal-CE.m.Atop.r.Left,Grammar_HFinal-CE.m.Left.r.Under,Grammar_HFinal-CE.m.Atop.r.Right,Grammar_HFinal-CE.m.Right.r.Atop,Grammar_HFinal-CE.m.Under.r.Left,Grammar_HFinal-CE.m.Right.r.Under,Grammar_HFinal-CE.m.Under.r.Right,Grammar_HInitial-Crossed-PreP.m.Left.r.Atop,Grammar_HInitial-Crossed-PreP.m.Atop.r.Left,Grammar_HInitial-Crossed-PreP.m.Left.r.Under,Grammar_HInitial-Crossed-PreP.m.Atop.r.Right,Grammar_HInitial-Crossed-PreP.m.Right.r.Atop,Grammar_HInitial-Crossed-PreP.m.Under.r.Left,Grammar_HInitial-Crossed-PreP.m.Right.r.Under,Grammar_HInitial-Crossed-PreP.m.Under.r.Right,Grammar_HInitial-Crossed-PostP.m.Left.r.Atop,Grammar_HInitial-Crossed-PostP.m.Atop.r.Left,Grammar_HInitial-Crossed-PostP.m.Left.r.Under,Grammar_HInitial-Crossed-PostP.m.Atop.r.Right,Grammar_HInitial-Crossed-PostP.m.Right.r.Atop,Grammar_HInitial-Crossed-PostP.m.Under.r.Left,Grammar_HInitial-Crossed-PostP.m.Right.r.Under,Grammar_HInitial-Crossed-PostP.m.Under.r.Right,Grammar_HFinal-Crossed-PreP.m.Left.r.Atop,Grammar_HFinal-Crossed-PreP.m.Atop.r.Left,Grammar_HFinal-Crossed-PreP.m.Left.r.Under,Grammar_HFinal-Crossed-PreP.m.Atop.r.Right,Grammar_HFinal-Crossed-PreP.m.Right.r.Atop,Grammar_HFinal-Crossed-PreP.m.Under.r.Left,Grammar_HFinal-Crossed-PreP.m.Right.r.Under,Grammar_HFinal-Crossed-PreP.m.Under.r.Right,Grammar_HFinal-Crossed-PostP.m.Left.r.Atop,Grammar_HFinal-Crossed-PostP.m.Atop.r.Left,Grammar_HFinal-Crossed-PostP.m.Left.r.Under,Grammar_HFinal-Crossed-PostP.m.Atop.r.Right,Grammar_HFinal-Crossed-PostP.m.Right.r.Atop,Grammar_HFinal-Crossed-PostP.m.Under.r.Left,Grammar_HFinal-Crossed-PostP.m.Right.r.Under,Grammar_HFinal-Crossed-PostP.m.Under.r.Right
29,78,A1,crossed,head initial,4,"[1,[[2,[2,1]]]]",False,tontin rae siso siso kolkul moy moy,kolkul siso siso kolkul rae moy moy,trsskmm,ksskrmm,0.5714285714285711,vkst,left,atop,krsmsmk,kmsrsmk,smsmkrk,srsmkmk,krkmsms,kmkmsrs,kmsmsrk,kmsrsmk,kmsmsrk,kmsrsmk,krkmsms,kmkmsrs,smsmkrk,srsmkmk,krsmsmk,kmsrsmk,ksskmmr,ksskmrm,sskkrmm,sskkmmr,kkssmmr,kkssrmm,ksskrmm,ksskmrm,rmmkssk,mrmkssk,mmrkkss,rmmkkss,rmmsskk,mmrsskk,mmrkssk,mrmkssk,rmmkssk,mrmkssk,mmrsskk,rmmsskk,rmmkkss,mmrkkss,mmrkssk,mrmkssk,ksskrmm,ksskmrm,sskkmmr,sskkrmm,kkssrmm,kkssmmr,ksskmmr,ksskmrm,mmrkssk,mrmkssk,rmmkkss,mmrkkss,mmrsskk,rmmsskk,rmmkssk,mrmkssk,ksskmmr,ksskmrm,kkssrmm,kkssmmr,sskkmmr,sskkrmm,ksskrmm,ksskmrm
18,67,A1,crossed,head initial,3,"[0,[[2,0]]]",True,valtal siso valtal rae moy,valtal siso valtal rae moy,vsvrm,vsvrm,1.0,vkst,left,atop,vrsmv,vmsrv,smvrv,srvmv,vrvms,vmvrs,vmsrv,vrsmv,vmsrv,vrsmv,vrvms,vmvrs,smvrv,srvmv,vrsmv,vmsrv,vsvmr,vsvrm,svvrm,svvmr,vvsmr,vvsrm,vsvrm,vsvmr,rmvsv,mrvsv,mrvvs,rmvvs,rmsvv,mrsvv,mrvsv,rmvsv,rmvsv,mrvsv,mrsvv,rmsvv,rmvvs,mrvvs,mrvsv,rmvsv,vsvrm,vsvmr,svvmr,svvrm,vvsrm,vvsmr,vsvmr,vsvrm,mrvsv,rmvsv,rmvvs,mrvvs,mrsvv,rmsvv,rmvsv,mrvsv,vsvmr,vsvrm,vvsrm,vvsmr,svvmr,svvrm,vsvrm,vsvmr
19,68,A1,crossed,head initial,3,"[[3,2],[0]]",True,tontin siso rae valtal moy,tontin siso valtal moy rae,tsrvm,tsvmr,0.6,vkst,left,atop,tmsrv,tmsmv,vrtms,vmtms,smtrv,smtmv,vrsmt,vmsmt,vrsmt,vmsmt,smtrv,smtmv,vrtms,vmtms,tmsrv,tmsmv,tsvrm,tsvmm,vtsmr,vtsmm,stvrm,stvmm,vstmr,vstmm,mrvst,mmvst,rmstv,mmstv,mrvts,mmvts,rmtsv,mmtsv,mrtsv,mmtsv,rmvts,mmvts,mrstv,mmstv,rmvst,mmvst,tsvmr,tsvmm,vtsrm,vtsmm,stvmr,stvmm,vstrm,vstmm,rmvst,mmvst,mrstv,mmstv,rmvts,mmvts,mrtsv,mmtsv,vstrm,vstmm,stvmr,stvmm,vtsrm,vtsmm,tsvmr,tsvmm
2,51,A1,crossed,head initial,1,2,True,siso,siso,s,s,1.0,vkst,left,atop,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
3,52,A1,crossed,head initial,1,3,True,tontin,tontin,t,t,1.0,vkst,left,atop,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
4,53,A1,crossed,head initial,2,"[3,3]",True,tontin moy moy,tontin tontin moy,tmm,ttm,0.666666666666667,vkst,left,atop,tmt,trt,tmt,trt,tmt,trt,tmt,trt,tmt,trt,tmt,trt,tmt,trt,tmt,trt,ttm,ttr,ttm,ttr,ttm,ttr,ttm,ttr,mtt,rtt,mtt,rtt,mtt,rtt,mtt,rtt,mtt,rtt,mtt,rtt,mtt,rtt,mtt,rtt,ttm,ttr,ttm,ttr,ttm,ttr,ttm,ttr,mtt,rtt,mtt,rtt,mtt,rtt,mtt,rtt,ttm,ttr,ttm,ttr,ttm,ttr,ttm,ttr
5,54,A1,crossed,head initial,2,"[1,3]",True,kolkul tontin moy,kolkul tontin moy,ktm,ktm,1.0,vkst,left,atop,kmt,krt,kmt,krt,tmk,trk,tmk,trk,tmk,trk,tmk,trk,kmt,krt,kmt,krt,ktm,ktr,ktm,ktr,tkm,tkr,tkm,tkr,mtk,rtk,mtk,rtk,mkt,rkt,mkt,rkt,mkt,rkt,mkt,rkt,mtk,rtk,mtk,rtk,ktm,ktr,ktm,ktr,tkm,tkr,tkm,tkr,mtk,rtk,mtk,rtk,mkt,rkt,mkt,rkt,tkm,tkr,tkm,tkr,ktm,ktr,ktm,ktr
6,55,A1,crossed,head initial,2,"[0,[1]]",True,valtal kolkul rae,valtal kolkul rae,vkr,vkr,1.0,vkst,left,atop,vrk,vmk,krv,kmv,vrk,vmk,krv,kmv,krv,kmv,vrk,vmk,krv,kmv,vrk,vmk,vkr,vkm,kvr,kvm,vkr,vkm,kvr,kvm,rkv,mkv,rvk,mvk,rkv,mkv,rvk,mvk,rvk,mvk,rkv,mkv,rvk,mvk,rkv,mkv,vkr,vkm,kvr,kvm,vkr,vkm,kvr,kvm,rkv,mkv,rvk,mvk,rkv,mkv,rvk,mvk,kvr,kvm,vkr,vkm,kvr,kvm,vkr,vkm
7,56,A1,crossed,head initial,2,"[3,[1]]",True,tontin kolkul rae,tontin kolkul rae,tkr,tkr,1.0,vkst,left,atop,trk,tmk,krt,kmt,trk,tmk,krt,kmt,krt,kmt,trk,tmk,krt,kmt,trk,tmk,tkr,tkm,ktr,ktm,tkr,tkm,ktr,ktm,rkt,mkt,rtk,mtk,rkt,mkt,rtk,mtk,rtk,mtk,rkt,mkt,rtk,mtk,rkt,mkt,tkr,tkm,ktr,ktm,tkr,tkm,ktr,ktm,rkt,mkt,rtk,mtk,rkt,mkt,rtk,mtk,ktr,ktm,tkr,tkm,ktr,ktm,tkr,tkm
8,57,A1,crossed,head initial,2,"[2,[1]]",True,siso tontin rae,siso kolkul rae,str,skr,0.666666666666667,vkst,left,atop,srk,smk,krs,kms,srk,smk,krs,kms,krs,kms,srk,smk,krs,kms,srk,smk,skr,skm,ksr,ksm,skr,skm,ksr,ksm,rks,mks,rsk,msk,rks,mks,rsk,msk,rsk,msk,rks,mks,rsk,msk,rks,mks,skr,skm,ksr,ksm,skr,skm,ksr,ksm,rks,mks,rsk,msk,rks,mks,rsk,msk,ksr,ksm,skr,skm,ksr,ksm,skr,skm
9,58,A1,crossed,head initial,2,"[2,1]",True,siso tontin moy,siso kolkul moy,stm,skm,0.666666666666667,vkst,left,atop,smk,srk,smk,srk,kms,krs,kms,krs,kms,krs,kms,krs,smk,srk,smk,srk,skm,skr,skm,skr,ksm,ksr,ksm,ksr,mks,rks,mks,rks,msk,rsk,msk,rsk,msk,rsk,msk,rsk,mks,rks,mks,rks,skm,skr,skm,skr,ksm,ksr,ksm,ksr,mks,rks,mks,rks,msk,rsk,msk,rsk,ksm,ksr,ksm,ksr,skm,skr,skm,skr
1,50,A1,crossed,head initial,1,1,True,kolkul,kolkul,k,k,1.0,vkst,left,atop,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k
11,60,A1,crossed,head initial,2,"[3,[0]]",True,tontin valtal rae,tontin valtal rae,tvr,tvr,1.0,vkst,left,atop,trv,tmv,vrt,vmt,trv,tmv,vrt,vmt,vrt,vmt,trv,tmv,vrt,vmt,trv,tmv,tvr,tvm,vtr,vtm,tvr,tvm,vtr,vtm,rvt,mvt,rtv,mtv,rvt,mvt,rtv,mtv,rtv,mtv,rvt,mvt,rtv,mtv,rvt,mvt,tvr,tvm,vtr,vtm,tvr,tvm,vtr,vtm,rvt,mvt,rtv,mtv,rvt,mvt,rtv,mtv,vtr,vtm,tvr,tvm,vtr,vtm,tvr,tvm
12,61,A1,crossed,head initial,2,"[2,2]",False,siso siso moy,siso siso moy,ssm,ssm,1.0,vkst,left,atop,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,ssm,ssr,ssm,ssr,ssm,ssr,ssm,ssr,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,ssm,ssr,ssm,ssr,ssm,ssr,ssm,ssr,mss,rss,mss,rss,mss,rss,mss,rss,ssm,ssr,ssm,ssr,ssm,ssr,ssm,ssr
13,62,A1,crossed,head initial,2,"[2,[3]]",False,siso tontin rae,siso tontin rae,str,str,1.0,vkst,left,atop,srt,smt,trs,tms,srt,smt,trs,tms,trs,tms,srt,smt,trs,tms,srt,smt,str,stm,tsr,tsm,str,stm,tsr,tsm,rts,mts,rst,mst,rts,mts,rst,mst,rst,mst,rts,mts,rst,mst,rts,mts,str,stm,tsr,tsm,str,stm,tsr,tsm,rts,mts,rst,mst,rts,mts,rst,mst,tsr,tsm,str,stm,tsr,tsm,str,stm
14,63,A1,crossed,head initial,2,"[0,[2]]",False,valtal siso rae,valtal siso rae,vsr,vsr,1.0,vkst,left,atop,vrs,vms,srv,smv,vrs,vms,srv,smv,srv,smv,vrs,vms,srv,smv,vrs,vms,vsr,vsm,svr,svm,vsr,vsm,svr,svm,rsv,msv,rvs,mvs,rsv,msv,rvs,mvs,rvs,mvs,rsv,msv,rvs,mvs,rsv,msv,vsr,vsm,svr,svm,vsr,vsm,svr,svm,rsv,msv,rvs,mvs,rsv,msv,rvs,mvs,svr,svm,vsr,vsm,svr,svm,vsr,vsm
15,64,A1,crossed,head initial,2,"[0,1]",False,valtal kolkul moy,valtal kolkul moy,vkm,vkm,1.0,vkst,left,atop,vmk,vrk,vmk,vrk,kmv,krv,kmv,krv,kmv,krv,kmv,krv,vmk,vrk,vmk,vrk,vkm,vkr,vkm,vkr,kvm,kvr,kvm,kvr,mkv,rkv,mkv,rkv,mvk,rvk,mvk,rvk,mvk,rvk,mvk,rvk,mkv,rkv,mkv,rkv,vkm,vkr,vkm,vkr,kvm,kvr,kvm,kvr,mkv,rkv,mkv,rkv,mvk,rvk,mvk,rvk,kvm,kvr,kvm,kvr,vkm,vkr,vkm,vkr
16,65,A1,crossed,head initial,3,"[[3,[3]],[2]]",True,tontin tontin moy siso rae,tontin tontin siso rae rae,ttmsr,ttsrr,0.6,vkst,left,atop,trtrs,trtms,srtrt,smtrt,trtrs,trtms,srtrt,smtrt,srtrt,smtrt,trtrs,trtms,srtrt,smtrt,trtrs,trtms,ttsrr,ttsmr,sttrr,sttrm,ttsrr,ttsmr,sttrr,sttrm,rrstt,rmstt,rrtts,mrtts,rrstt,rmstt,rrtts,mrtts,rrtts,rmtts,rrstt,mrstt,rrtts,rmtts,rrstt,mrstt,ttsrr,ttsrm,sttrr,sttmr,ttsrr,ttsrm,sttrr,sttmr,rrstt,mrstt,rrtts,rmtts,rrstt,mrstt,rrtts,rmtts,sttrr,sttmr,ttsrr,ttsrm,sttrr,sttmr,ttsrr,ttsrm
17,66,A1,crossed,head initial,3,"[2,[3,[0]]]",True,siso tontin valtal moy rae,siso tontin valtal moy rae,stvmr,stvmr,1.0,vkst,left,atop,smtrv,srtrv,smvrt,srvrt,trvms,trvrs,vrtms,vrtrs,vrtms,vrtrs,trvms,trvrs,smvrt,srvrt,smtrv,srtrv,stvrm,stvrr,svtrm,svtrr,tvsmr,tvsrr,vtsmr,vtsrr,mrvts,rrvts,mrtvs,rrtvs,rmsvt,rrsvt,rmstv,rrstv,mrstv,rrstv,mrsvt,rrsvt,rmtvs,rrtvs,rmvts,rrvts,stvmr,stvrr,svtmr,svtrr,tvsrm,tvsrr,vtsrm,vtsrr,rmvts,rrvts,rmtvs,rrtvs,mrsvt,rrsvt,mrstv,rrstv,vtsrm,vtsrr,tvsrm,tvsrr,svtmr,svtrr,stvmr,stvrr
10,59,A1,crossed,head initial,2,"[0,0]",True,valtal valtal moy,valtal valtal moy,vvm,vvm,1.0,vkst,left,atop,vmv,vrv,vmv,vrv,vmv,vrv,vmv,vrv,vmv,vrv,vmv,vrv,vmv,vrv,vmv,vrv,vvm,vvr,vvm,vvr,vvm,vvr,vvm,vvr,mvv,rvv,mvv,rvv,mvv,rvv,mvv,rvv,mvv,rvv,mvv,rvv,mvv,rvv,mvv,rvv,vvm,vvr,vvm,vvr,vvm,vvr,vvm,vvr,mvv,rvv,mvv,rvv,mvv,rvv,mvv,rvv,vvm,vvr,vvm,vvr,vvm,vvr,vvm,vvr
61,959,A10,crossed,head final,3,"[1,[3,[3]]]",True,rae moy kakan kakan tinkin,rae moy volsol volsol tinkin,rmkkt,rmvvt,0.6,stkv,under,atop,tmvrv,trvrv,tmvrv,trvrv,vrvmt,vrvrt,vrvmt,vrvrt,vrvmt,vrvrt,vrvmt,vrvrt,tmvrv,trvrv,tmvrv,trvrv,tvvrm,tvvrr,tvvrm,tvvrr,vvtmr,vvtrr,vvtmr,vvtrr,mrvvt,rrvvt,mrvvt,rrvvt,rmtvv,rrtvv,rmtvv,rrtvv,mrtvv,rrtvv,mrtvv,rrtvv,rmvvt,rrvvt,rmvvt,rrvvt,tvvmr,tvvrr,tvvmr,tvvrr,vvtrm,vvtrr,vvtrm,vvtrr,rmvvt,rrvvt,rmvvt,rrvvt,mrtvv,rrtvv,mrtvv,rrtvv,vvtrm,vvtrr,vvtrm,vvtrr,tvvmr,tvvrr,tvvmr,tvvrr
67,965,A10,crossed,head final,3,"[[1,2],0]",False,rae rae moy volsol tinkin,moy moy sulsal kakan tinkin,rrmvt,mmskt,0.2,stkv,under,atop,tmkms,tmkrs,tmkms,tmkrs,smkmt,srkmt,smkmt,srkmt,smkmt,srkmt,smkmt,srkmt,tmkms,tmkrs,tmkms,tmkrs,tksmm,tksrm,tksmm,tksrm,sktmm,sktmr,sktmm,sktmr,mmskt,mrskt,mmskt,mrskt,mmtks,rmtks,mmtks,rmtks,mmtks,mrtks,mmtks,mrtks,mmskt,rmskt,mmskt,rmskt,tksmm,tksmr,tksmm,tksmr,sktmm,sktrm,sktmm,sktrm,mmskt,rmskt,mmskt,rmskt,mmtks,mrtks,mmtks,mrtks,sktmm,sktrm,sktmm,sktrm,tksmm,tksmr,tksmm,tksmr
66,964,A10,crossed,head final,3,"[[1,[1]],0]",False,moy volsol kakan tinkin tinkin,moy rae sulsal tinkin tinkin,mvktt,mrstt,0.6,stkv,under,atop,trtms,trtrs,trtms,trtrs,smtrt,srtrt,smtrt,srtrt,smtrt,srtrt,smtrt,srtrt,trtms,trtrs,trtms,trtrs,ttsmr,ttsrr,ttsmr,ttsrr,sttrm,sttrr,sttrm,sttrr,rmstt,rrstt,rmstt,rrstt,mrtts,rrtts,mrtts,rrtts,rmtts,rrtts,rmtts,rrtts,mrstt,rrstt,mrstt,rrstt,ttsrm,ttsrr,ttsrm,ttsrr,sttmr,sttrr,sttmr,sttrr,mrstt,rrstt,mrstt,rrstt,rmtts,rrtts,rmtts,rrtts,sttmr,sttrr,sttmr,sttrr,ttsrm,ttsrr,ttsrm,ttsrr
62,960,A10,crossed,head final,3,"[[1,[2]],2]",True,moy kakan volsol sulsal tinkin,moy rae kakan kakan tinkin,mkvst,mrkkt,0.4,stkv,under,atop,trkmk,trkrk,krtmk,krtrk,kmtrk,krtrk,kmkrt,krkrt,kmkrt,krkrt,kmtrk,krtrk,krtmk,krtrk,trkmk,trkrk,tkkmr,tkkrr,ktkmr,ktkrr,ktkrm,ktkrr,kktrm,kktrr,rmkkt,rrkkt,rmktk,rrktk,mrktk,rrktk,mrtkk,rrtkk,rmtkk,rrtkk,rmktk,rrktk,mrktk,rrktk,mrkkt,rrkkt,tkkrm,tkkrr,ktkrm,ktkrr,ktkmr,ktkrr,kktmr,kktrr,mrkkt,rrkkt,mrktk,rrktk,rmktk,rrktk,rmtkk,rrtkk,kktmr,kktrr,ktkmr,ktkrr,ktkrm,ktkrr,tkkrm,tkkrr
64,962,A10,crossed,head final,3,"[0,[[1,1]]]",False,kakan moy rae rae moy,moy rae tinkin tinkin sulsal,kmrrm,mrtts,0.2,stkv,under,atop,srtmt,smtrt,tmtrs,trtms,srtmt,smtrt,tmtrs,trtms,tmtrs,trtms,srtmt,smtrt,tmtrs,trtms,srtmt,smtrt,sttmr,sttrm,ttsrm,ttsmr,sttmr,sttrm,ttsrm,ttsmr,rmtts,mrtts,mrstt,rmstt,rmtts,mrtts,mrstt,rmstt,rmstt,mrstt,mrtts,rmtts,rmstt,mrstt,mrtts,rmtts,sttrm,sttmr,ttsmr,ttsrm,sttrm,sttmr,ttsmr,ttsrm,mrtts,rmtts,rmstt,mrstt,mrtts,rmtts,rmstt,mrstt,ttsmr,ttsrm,sttrm,sttmr,ttsmr,ttsrm,sttrm,sttmr
63,961,A10,crossed,head final,3,"[[0,3],[1]]",True,moy kakan volsol volsol tinkin,rae moy tinkin volsol sulsal,mkvvt,rmtvs,0.2,stkv,under,atop,smvrt,smvmt,trsmv,tmsmv,vmsrt,vmsmt,trvms,tmvms,trvms,tmvms,vmsrt,vmsmt,trsmv,tmsmv,smvrt,smvmt,svtrm,svtmm,tsvmr,tsvmm,vstrm,vstmm,tvsmr,tvsmm,mrtvs,mmtvs,rmvst,mmvst,mrtsv,mmtsv,rmsvt,mmsvt,mrsvt,mmsvt,rmtsv,mmtsv,mrvst,mmvst,rmtvs,mmtvs,svtmr,svtmm,tsvrm,tsvmm,vstmr,vstmm,tvsrm,tvsmm,rmtvs,mmtvs,mrvst,mmvst,rmtsv,mmtsv,mrsvt,mmsvt,tvsrm,tvsmm,vstmr,vstmm,tsvrm,tsvmm,svtmr,svtmm
68,966,A10,crossed,head final,4,"[3,[2,[2,[3]]]]",False,rae kakan tinkin volsol sulsal tinkin tinkin,rae moy moy volsol kakan kakan volsol,rktvstt,rmmvkkv,0.28571428571428603,stkv,under,atop,vmkmkrv,vrkmkmv,vmkmvrk,vrkmvmk,krvmkmv,kmvmkrv,vrkmkmv,vmkmkrv,vrkmkmv,vmkmkrv,krvmkmv,kmvmkrv,vmkmvrk,vrkmvmk,vmkmkrv,vrkmkmv,vkkvrmm,vkkvmmr,vkvkrmm,vkvkmmr,kvkvmmr,kvkvrmm,vkkvmmr,vkkvrmm,mmrvkkv,rmmvkkv,mmrkvkv,rmmkvkv,rmmvkvk,mmrvkvk,rmmvkkv,mmrvkkv,mmrvkkv,rmmvkkv,mmrvkvk,rmmvkvk,rmmkvkv,mmrkvkv,rmmvkkv,mmrvkkv,vkkvmmr,vkkvrmm,vkvkmmr,vkvkrmm,kvkvrmm,kvkvmmr,vkkvrmm,vkkvmmr,rmmvkkv,mmrvkkv,rmmkvkv,mmrkvkv,mmrvkvk,rmmvkvk,mmrvkkv,rmmvkkv,vkkvrmm,vkkvmmr,kvkvrmm,kvkvmmr,vkvkmmr,vkvkrmm,vkkvmmr,vkkvrmm
65,963,A10,crossed,head final,3,"[[3,3],0]",False,volsol tinkin kakan volsol volsol,moy moy sulsal volsol volsol,vtkvv,mmsvv,0.4,stkv,under,atop,vmvms,vmvrs,vmvms,vmvrs,smvmv,srvmv,smvmv,srvmv,smvmv,srvmv,smvmv,srvmv,vmvms,vmvrs,vmvms,vmvrs,vvsmm,vvsrm,vvsmm,vvsrm,svvmm,svvmr,svvmm,svvmr,mmsvv,mrsvv,mmsvv,mrsvv,mmvvs,rmvvs,mmvvs,rmvvs,mmvvs,mrvvs,mmvvs,mrvvs,mmsvv,rmsvv,mmsvv,rmsvv,vvsmm,vvsmr,vvsmm,vvsmr,svvmm,svvrm,svvmm,svvrm,mmsvv,rmsvv,mmsvv,rmsvv,mmvvs,mrvvs,mmvvs,mrvvs,svvmm,svvrm,svvmm,svvrm,vvsmm,vvsmr,vvsmm,vvsmr
70,968,A10,crossed,head final,4,"[[[3,1],[3]],3]",False,sulsal kakan kakan kakan volsol volsol moy,moy rae moy volsol volsol tinkin volsol,skkkvvm,mrmvvtv,0.14285714285714302,stkv,under,atop,vmtrvmv,vrtrvrv,vrvmtmv,vrvrtrv,vmtmvrv,vrtrvrv,vmvrtmv,vrvrtrv,vmvrtmv,vrvrtrv,vmtmvrv,vrtrvrv,vrvmtmv,vrvrtrv,vmtrvmv,vrtrvrv,vtvvmrm,vtvvrrr,vvtvmmr,vvtvrrr,vtvvrmm,vtvvrrr,vvtvmrm,vvtvrrr,mrmvvtv,rrrvvtv,rmmvtvv,rrrvtvv,mmrvvtv,rrrvvtv,mrmvtvv,rrrvtvv,mrmvtvv,rrrvtvv,rmmvvtv,rrrvvtv,mmrvtvv,rrrvtvv,mrmvvtv,rrrvvtv,vtvvmrm,vtvvrrr,vvtvrmm,vvtvrrr,vtvvmmr,vtvvrrr,vvtvmrm,vvtvrrr,mrmvvtv,rrrvvtv,mmrvtvv,rrrvtvv,rmmvvtv,rrrvvtv,mrmvtvv,rrrvtvv,vvtvmrm,vvtvrrr,vtvvmmr,vtvvrrr,vvtvrmm,vvtvrrr,vtvvmrm,vtvvrrr
74,972,A10,crossed,head final,4,"[0,[3,[[0,[0]]]]]",False,rae volsol volsol volsol volsol volsol tinkin,rae rae moy sulsal sulsal volsol sulsal,rvvvvvt,rrmssvs,0.28571428571428603,stkv,under,atop,smvrsrs,srvrsrs,smsrsrv,srsrsrv,vrsrsms,vrsrsrs,srsrvms,srsrvrs,srsrvms,srsrvrs,vrsrsms,vrsrsrs,smsrsrv,srsrsrv,smvrsrs,srvrsrs,svssrrm,svssrrr,sssvrrm,sssvrrr,vsssmrr,vsssrrr,ssvsmrr,ssvsrrr,mrrssvs,rrrssvs,mrrvsss,rrrvsss,rrmsssv,rrrsssv,rrmsvss,rrrsvss,mrrsvss,rrrsvss,mrrsssv,rrrsssv,rrmvsss,rrrvsss,rrmssvs,rrrssvs,svssmrr,svssrrr,sssvmrr,sssvrrr,vsssrrm,vsssrrr,ssvsrrm,ssvsrrr,rrmssvs,rrrssvs,rrmvsss,rrrvsss,mrrsssv,rrrsssv,mrrsvss,rrrsvss,ssvsrrm,ssvsrrr,vsssrrm,vsssrrr,sssvmrr,sssvrrr,svssmrr,svssrrr
72,970,A10,crossed,head final,4,"[[[0,1],0],[2]]",False,rae tinkin sulsal kakan kakan volsol volsol,rae moy moy kakan sulsal tinkin sulsal,rtskkvv,rmmksts,0.28571428571428603,stkv,under,atop,smtmsrk,srtmsmk,krsmtms,kmsrtms,smtmsrk,smtrsmk,krsmtms,kmsmtrs,krsmtms,kmsmtrs,smtmsrk,smtrsmk,krsmtms,kmsrtms,smtmsrk,srtmsmk,stskrmm,stskmmr,kstsmmr,kstsmrm,stskrmm,stskmrm,kstsmmr,kstsrmm,mmrksts,rmmksts,rmmstsk,mrmstsk,mmrksts,mrmksts,rmmstsk,mmrstsk,mmrstsk,rmmstsk,rmmksts,mrmksts,mmrstsk,mrmstsk,rmmksts,mmrksts,stskmmr,stskrmm,kstsrmm,kstsmrm,stskmmr,stskmrm,kstsrmm,kstsmmr,rmmksts,mmrksts,mmrstsk,mrmstsk,rmmksts,mrmksts,mmrstsk,rmmstsk,kstsrmm,kstsmmr,stskmmr,stskmrm,kstsrmm,kstsmrm,stskmmr,stskrmm
